nombre,edad,ciudad,salario,departamento,años_empresa,satisfaccion,remoto,formacion,ventas_anuales
Carlos,35,Madrid,24970.0,IT,8,1.0,True,FP,220971
Carlos,42,Sevilla,24938.0,RRHH,9,3.0,True,FP,282193
Elena,59,Madrid,39168.0,RRHH,22,5.0,True,FP,468933
Laura,48,Bilbao,64540.0,Finanzas,11,4.0,True,Doctorado,367505
Laura,20,Valencia,,Finanzas,23,3.0,False,Master,278226
Carlos,57,Valencia,36017.0,Ventas,1,2.0,False,Bachillerato,262805
Laura,63,Madrid,28344.0,Ventas,14,5.0,False,Grado,168484
María,41,Sevilla,58034.0,Finanzas,5,5.0,True,Doctorado,265064
Pedro,49,Sevilla,26702.0,Finanzas,21,3.0,False,Bachillerato,484410
Luis,64,Bilbao,18384.0,Marketing,14,3.0,True,Doctorado,245378
David,39,Madrid,18404.0,RRHH,4,4.0,True,Doctorado,453531
Sofía,40,Valencia,58943.0,Ventas,22,1.0,True,Grado,341705
Elena,19,Sevilla,65926.0,RRHH,23,3.0,True,Master,271090
Pedro,44,Madrid,47189.0,RRHH,1,,False,FP,225314
Carlos,59,Sevilla,30763.0,Finanzas,22,2.0,False,Master,438716
David,19,Sevilla,36384.0,Marketing,23,5.0,True,Grado,235612
Laura,43,Valencia,78100.0,IT,19,1.0,False,Grado,278453
Sofía,34,Barcelona,50606.0,Marketing,8,2.0,True,Grado,55230
Laura,57,Bilbao,27860.0,Marketing,15,4.0,False,Bachillerato,373966
Ana,50,Bilbao,,RRHH,21,4.0,False,Master,491872
Ana,26,Valencia,33106.0,Marketing,15,3.0,True,Master,423243
Sofía,60,Sevilla,68612.0,Ventas,9,3.0,False,Doctorado,465757
Sofía,56,Madrid,41574.0,RRHH,21,4.0,True,Doctorado,374484
Carlos,46,Sevilla,41524.0,Ventas,9,3.0,False,Doctorado,59321
Sofía,59,Valencia,21636.0,IT,10,1.0,True,Grado,132028
María,43,Bilbao,28916.0,RRHH,20,,True,Master,231447
Laura,52,Sevilla,22809.0,IT,21,5.0,False,Grado,336275
Pedro,42,Bilbao,50201.0,RRHH,9,3.0,False,Bachillerato,441124
Juan,41,Madrid,71330.0,Finanzas,3,2.0,True,Doctorado,471555
Sofía,30,Bilbao,31456.0,Marketing,20,1.0,False,Grado,288107
Elena,24,Bilbao,66212.0,Finanzas,11,2.0,False,Grado,101757
Ana,53,Barcelona,74397.0,IT,6,2.0,True,Bachillerato,432659
María,62,Barcelona,73752.0,Marketing,2,5.0,True,FP,361403
David,37,Barcelona,56765.0,RRHH,7,1.0,False,Master,301207
Juan,18,Bilbao,52816.0,Marketing,18,1.0,True,FP,376369
Pedro,25,Valencia,63106.0,Ventas,2,1.0,True,Doctorado,378544
Juan,63,Bilbao,71932.0,Marketing,17,1.0,True,Grado,342962
Sofía,33,Valencia,,Ventas,11,1.0,False,Bachillerato,266847
Carlos,31,Valencia,75091.0,Marketing,12,,False,Bachillerato,196200
Ana,29,Barcelona,39949.0,Ventas,19,3.0,True,Master,72099
Ana,40,Sevilla,,IT,22,2.0,False,FP,419065
David,32,Madrid,55744.0,Finanzas,24,1.0,True,Master,162932
Carlos,45,Barcelona,63543.0,RRHH,7,,False,Grado,31585
Laura,51,Barcelona,60783.0,Marketing,20,3.0,True,Master,415231
Luis,19,Sevilla,44657.0,Finanzas,6,2.0,True,Bachillerato,470755
María,49,Madrid,54187.0,RRHH,21,5.0,False,Bachillerato,43585
Ana,40,Bilbao,65198.0,RRHH,24,4.0,True,Doctorado,289102
Elena,39,Bilbao,25239.0,Ventas,1,4.0,False,Doctorado,288161
Ana,42,Barcelona,76918.0,IT,17,3.0,False,Grado,469923
Juan,39,Madrid,32489.0,IT,11,2.0,True,FP,386821
Ana,39,Barcelona,67401.0,Finanzas,22,4.0,True,Master,438566
Ana,59,Valencia,76017.0,IT,18,3.0,False,Grado,405417
Luis,23,Barcelona,79877.0,Marketing,21,5.0,True,Doctorado,291570
Luis,32,Barcelona,61125.0,IT,17,4.0,True,Master,279922
Pedro,60,Bilbao,67922.0,Finanzas,7,3.0,True,Doctorado,176313
Laura,54,Bilbao,46538.0,IT,17,3.0,True,Master,42229
Elena,50,Bilbao,50049.0,Marketing,20,1.0,True,FP,86652
Ana,25,Valencia,55131.0,Ventas,9,5.0,False,Grado,390411
Ana,61,Bilbao,60944.0,Finanzas,17,,False,Master,249474
María,61,Madrid,68229.0,Ventas,20,2.0,True,Bachillerato,179436
Luis,22,Sevilla,26427.0,Ventas,22,1.0,True,Bachillerato,492049
Elena,56,Madrid,59348.0,Ventas,22,1.0,True,Master,388647
David,21,Madrid,78381.0,RRHH,8,4.0,False,Master,260116
Pedro,23,Bilbao,42285.0,RRHH,17,3.0,True,Master,347022
Laura,62,Sevilla,55626.0,Ventas,7,5.0,False,Bachillerato,319200
Carlos,49,Sevilla,60808.0,Finanzas,1,1.0,False,Bachillerato,420706
Laura,47,Sevilla,40928.0,Marketing,13,5.0,False,Master,19975
Juan,64,Valencia,,Marketing,23,1.0,True,Doctorado,157795
Ana,52,Bilbao,37198.0,IT,19,2.0,False,Doctorado,416495
Pedro,57,Sevilla,37758.0,Finanzas,24,,True,FP,209373
Juan,33,Valencia,33254.0,RRHH,19,4.0,False,Grado,404777
Elena,30,Barcelona,62238.0,Ventas,17,3.0,True,Doctorado,197133
Carlos,59,Barcelona,19252.0,IT,13,2.0,False,Bachillerato,350541
Luis,47,Valencia,57764.0,Marketing,16,1.0,True,Doctorado,180225
Pedro,36,Valencia,30173.0,RRHH,8,5.0,False,FP,295286
